date,equity,cash,positions
2024-07-01,99956.44182436,90061.24182436,1
2024-07-02,99640.07457931855,81124.37127931856,2
2024-07-03,100006.92057931855,81124.37127931856,2
2024-07-04,99968.49947931856,81124.37127931856,2
2024-07-05,99664.82517931856,81124.37127931856,2
2024-07-08,100142.83237931856,81124.37127931856,2
2024-07-09,100216.51297931855,81124.37127931856,2
2024-07-10,99886.01127931855,81124.37127931856,2
2024-07-11,100161.02227931855,81124.37127931856,2
2024-07-12,100447.29947931856,81124.37127931856,2
2024-07-15,100783.29947931856,81124.37127931856,2
2024-07-16,99541.43777931854,81124.37127931856,2
2024-07-17,99624.28468116416,65783.72598116417,4
2024-07-18,100365.85068116417,65783.72598116417,4
2024-07-19,100222.75638116417,65783.72598116417,4
2024-07-22,100613.79788116418,65783.72598116417,4
2024-07-23,99612.48285741417,59230.00325741417,5
2024-07-24,99958.8635574142,59230.00325741417,5
2024-07-25,99556.63585741418,59230.00325741417,5
2024-07-26,99493.27635741419,59230.00325741417,5
2024-07-29,99955.20252264233,53641.628322642326,6
2024-07-30,99439.18742264232,53641.628322642326,6
2024-07-31,100078.24542264233,53641.628322642326,6
2024-08-01,99141.88392264232,53641.628322642326,6
2024-08-02,98097.69081060449,48565.61891060448,7
2024-08-05,96470.96591060449,48565.61891060448,7
2024-08-06,96537.45701060447,48565.61891060448,7
2024-08-07,96991.16361060448,48565.61891060448,7
2024-08-08,97780.46509105724,43725.14979105723,8
2024-08-09,97013.08191718571,35511.783417185725,10
2024-08-12,99139.32491718572,35511.783417185725,10
2024-08-13,100139.89741718574,35511.783417185725,10
2024-08-14,100399.95171718573,35511.783417185725,10
2024-08-16,103243.83261718573,35511.783417185725,10
2024-08-19,103304.06941718573,35511.783417185725,10
2024-08-20,102517.8971171857,35511.783417185725,10
2024-08-21,103120.52111718572,35511.783417185725,10
2024-08-22,103187.27261718575,35511.783417185725,10
2024-08-23,103111.25571718575,35511.783417185725,10
2024-08-26,103025.45721718571,35511.783417185725,10
2024-08-27,103262.40301718574,35511.783417185725,10
2024-08-28,102878.60941718573,35511.783417185725,10
2024-08-29,104507.12261718573,35511.783417185725,10
2024-08-30,104895.07161718572,35511.783417185725,10
2024-09-02,105946.93221718572,35511.783417185725,10
2024-09-03,104460.26811718571,35511.783417185725,10
2024-09-04,104584.2827171857,35511.783417185725,10
2024-09-05,103179.15511718571,35511.783417185725,10
2024-09-06,101473.63981718574,35511.783417185725,10
2024-09-09,101694.04931718572,35511.783417185725,10
2024-09-10,100805.63011718573,35511.783417185725,10
2024-09-11,99808.92031718572,35511.783417185725,10
2024-09-12,101266.17951718572,35511.783417185725,10
2024-09-13,102447.49181718571,35511.783417185725,10
2024-09-16,102298.40561718572,35511.783417185725,10
2024-09-17,103189.70541718573,35511.783417185725,10
2024-09-18,102810.50081718573,35511.783417185725,10
2024-09-19,103740.72011718572,35511.783417185725,10
2024-09-20,102279.54471718571,35511.783417185725,10
2024-09-23,102450.49841718572,35511.783417185725,10
2024-09-24,103350.76511718571,35511.783417185725,10
2024-09-25,105614.07731718573,35511.783417185725,10
2024-09-26,106637.94467793574,43660.785377935725,9
2024-09-27,106459.8320779357,43660.785377935725,9
2024-09-30,105052.53227793572,43660.785377935725,9
2024-10-01,104710.46507793572,43660.785377935725,9
2024-10-02,104223.80477793573,43660.785377935725,9
2024-10-03,103753.48335237167,39297.97025237165,10
2024-10-04,104306.37095237165,39297.97025237165,10
2024-10-07,105042.20835237166,39297.97025237165,10
2024-10-08,104868.41445237165,39297.97025237165,10
2024-10-09,105800.49383237165,39297.97025237165,10
2024-10-10,105933.64669237167,39297.97025237165,10
2024-10-11,106262.46865237167,39297.97025237165,10
2024-10-14,106583.22367237165,39297.97025237165,10
2024-10-15,106280.14267237166,39297.97025237165,10
2024-10-16,106752.60673237166,39297.97025237165,10
2024-10-17,105053.84511237165,39297.97025237165,10
2024-10-18,105540.14245237164,39297.97025237165,10
2024-10-21,105083.19229237166,39297.97025237165,10
2024-10-22,103717.58581059321,35405.45509059323,11
2024-10-23,104126.57337059324,35405.45509059323,11
2024-10-24,103328.39600249002,31864.962322490028,12
2024-10-25,102660.72974249003,31864.962322490028,12
2024-10-28,103038.90314249006,31864.962322490028,12
2024-10-29,104367.14152249004,31864.962322490028,12
2024-10-30,102865.64802249003,31864.962322490028,12
2024-10-31,102516.55520249005,31864.962322490028,12
2024-11-04,103825.65770249002,31864.962322490028,12
2024-11-05,103220.87370249005,31864.962322490028,12
2024-11-06,103729.82720249004,31864.962322490028,12
2024-11-07,105704.24371589004,28863.809295890027,13
2024-11-08,105018.76597589003,28863.809295890027,13
2024-11-12,104063.81445589002,28863.809295890027,13
2024-11-13,102874.74017589002,28863.809295890027,13
2024-11-14,104768.09345589003,28863.809295890027,13
2024-11-15,103866.74253589002,28863.809295890027,13
2024-11-18,104064.17241589002,28863.809295890027,13
2024-11-19,102202.56549589004,28863.809295890027,13
2024-11-20,102782.15349589004,28863.809295890027,13
2024-11-21,104056.92160340784,26005.084483407827,14
2024-11-22,104811.99484340783,26005.084483407827,14
2024-11-25,105227.69418340783,26005.084483407827,14
2024-11-26,104939.33816690782,23524.211666907828,15
2024-11-27,104976.02208690783,23524.211666907828,15
2024-11-28,103597.13726690784,23524.211666907828,15
2024-11-29,104288.03694690784,23524.211666907828,15
2024-12-02,106163.27954690783,23524.211666907828,15
2024-12-03,105940.61862690785,23524.211666907828,15
2024-12-04,106648.41984690781,23524.211666907828,15
2024-12-05,106959.46744690783,23524.211666907828,15
2024-12-06,106914.84534690782,23524.211666907828,15
2024-12-09,105582.38401239448,34486.17035239448,13
2024-12-10,105727.6469123945,34486.17035239448,13
2024-12-11,105439.73853239446,34486.17035239448,13
2024-12-12,104897.21679018464,38059.42667018463,12
